"PITCHERID","as.data.frame.locator.n...1...y"
"10000310",73.4453642547872
"10000311",81.4381799838177
"10000338",71.9115822213883
"10000358",78.8640199941822
"10000475",75.5886347035623
"10000476",73.7639331878614
"10000515",82.1159425359889
"10000630",79.2788504392679
"10000693",78.5981053767723
"10000718",79.0604985099713
"10000723",79.6904102053235
"10000776",79.9697330819611
"10000782",79.6674496264435
"1012621",84.5098131404904
"1012756",74.0818994399996
"1012764",81.5888169455596
"1012846",79.3296981880229
"1123458",78.0077562328554
"1123460",82.7619431599033
"1123570",76.7686493244785
"1123672",82.3831059715155
"1123700",80.3971485766532
"1123711",79.4891065821888
"1123724",81.1814316273723
"1123732",76.7987645413461
"1123747",80.7614946232381
"1123941",78.0178065350251
"1124012",82.7085454331392
"1124040",83.7619055043065
"1124057",85.615614936362
"1124086",78.9355538805124
"1124567",81.2545097938792
"1124579",78.9391829041613
"1124602",76.8251699894059
"1124698",74.9369432532033
"1124765",79.4943604754929
"1124768",74.7882735847025
"1124769",85.0819299008703
"1124890",78.0142172978639
"1124896",76.9019229905219
"1124898",76.6179597639343
"1124901",80.4169607624643
"1124944",80.2346418367062
"1124974",78.5003536772221
"1125015",79.5300668745016
"1126100",80.4728298976755
"1126205",79.0554518797859
"1126209",80.5721323564146
"1126214",79.4970133351365
"1126278",80.2927733212966
"1126279",80.5977828225904
"1126284",81.1848580767013
"1126300",77.8691152133552
"1126301",76.9489449317621
"1126305",59.5526280102825
"1126313",78.2024534615049
"1126314",76.4335693044035
"1126467",77.1803524932568
"1126471",74.3633046726184
"1126472",80.5070004842866
"1126475",81.426100687045
"1126526",77.4098541309564
"1126543",83.4295843722268
"1126551",81.8326641341949
"1126578",81.2250168827386
"1126600",79.6366519581768
"12698",83.645957005672
"12756",76.3775035140639
"2211130",80.3098631170534
"2211138",81.2371934406189
"2211143",77.7040450142858
"2211145",81.310104283791
"2211188",80.3811082573491
"2211208",81.6727911049158
"2211243",79.0027033773496
"2211530",79.0262895543257
"2211703",80.8583909411348
"2211800",68.5765827685581
"2211831",76.3155416816096
"2211839",80.5582381270341
"2211840",72.2241394051654
"2211871",81.5208660188849
"2212406",81.3156215162564
"3066",82.4016631250392
"3300124",78.8955168749506
"3300151",74.4612754338118
"3300152",84.6640623549536
"3300160",77.8071026844016
"3300165",79.7527924949999
"3411126",79.8817863485467
"3411128",75.9679796328966
"3411140",78.3535617754661
"4400030",80.8838434229775
"4400115",69.4065254595542
"4400117",80.3264122333686
"4500038",78.9003383084094
"621398",83.7568888490746
"643211",78.3778149621979
"8880047",83.7590751538449
"8880147",81.2637539367046
"8880164",78.1988929586752
"8880177",80.2429455633973
"8880186",75.4172166599097
"8880195",80.1585535273763
"8880206",77.3889923450827
"8880215",78.9878188757461
"8880222",79.4650971037942
"8880230",79.785085521797
"8880234",81.371729511074
"8880237",78.9618119262243
"8880245",80.0993871749522
"8880261",76.1982460366242
"8880272",81.7953296401613
"8880273",81.4367990761511
"8880276",80.2185236069268
"8880293",76.3822731303812
"8880343",67.5128617836077
"8880373",80.9749358596707
"8880380",79.9378262755524
"8880411",82.2673004816059
"8880432",75.9085328914517
"8880458",78.5641500204789
"8880468",79.7183045058498
"8880469",81.1044947463426
"8880472",80.5062600223028
"8880519",77.2907728099366
"8880537",78.6673682148642
"8880575",80.1720324066515
"8880576",82.7638296168399
"8880587",82.7981816053688
"8880610",79.9412041338326
"8880652",75.5646775173049
"8880658",74.9042617259467
"8880704",75.9473247337148
"8880715",79.2165618476507
"8880747",78.9180391007978
"8880761",75.8699983545396
"8880785",81.1862643543972
"8880793",83.0449175496269
"8880806",79.0913035937743
"8880811",63.9555500112686
"8880920",78.8031770829999
"8880953",66.9582698592418
"8880959",76.9675375056304
"8880972",77.6675842049043
"8881004",85.0530148610362
"8881019",83.0431070339621
"8881195",80.7656876632313
"8881273",78.2446692434269
"8881278",78.5639524255283
"8881296",80.7443912851156
"8881320",79.5102983288583
"8881327",81.0180985346305
"8881345",78.7060305827624
"8881375",75.9252165990598
"8881488",79.7704436158112
"8881508",78.4134505567391
"8881817",78.7483216495656
"8881819",78.8426328441343
"8881917",80.3666230434061
"8881991",71.7229205646853
"8882081",78.1468478610871
"8882094",78.7906888529164
"8882099",79.5064801461408
"8882111",76.6833204885194
"8882225",85.8581747485508
"8882239",83.739604886865
"8882246",82.734721600216
"8882293",75.6518794067988
"8882297",81.7021010202092
"8882298",76.1094614680382
"8882314",76.9956598392658
"8882352",83.2599582787553
"8882373",83.4591812222537
"8882390",78.984919083675
"8882406",77.6164575306347
"8882426",81.3945653979088
"8882435",80.6178030199576
"8882684",79.7708374520283
"8882690",76.9635163614436
"8882738",78.2417401192168
"8882863",74.7971527602417
"8882919",76.0871351034306
"8883014",80.3892780507145
"8883189",81.4394211755169
"8883321",83.2547127392027
"888344",81.6926606033505
"8883448",81.6004818267006
"8883496",79.1964795620859
"8883524",77.9547945361298
"8883526",77.3434619048013
"8883533",80.8570927752869
"8883534",80.8596307192015
"8883538",73.4562468787293
"8883542",76.4632972300069
"8883713",77.9016649786643
"8883720",75.7119173966457
"8883754",79.4482621884888
"8883770",79.1158336754452
"8883871",78.6254859945701
"8883923",80.1797092535075
"8884004",75.6982379971196
"8884013",80.1665743465847
"8884016",79.9392886108666
"8884089",82.7027088690013
"8884110",79.9898167257413
"8885005",81.4822594341056
"8886073",78.0769488436986
"8886120",82.1555728013843
"8886122",81.4894899844412
"8886125",76.1253553926592
"8886181",79.9515353504185
"8886198",80.6165148231413
"8886216",76.1386753482148
"8886241",81.4004888074311
"8886257",62.8028283484754
"8886262",75.9432470374917
"8886266",78.6711265471115
"8886284",80.2437898700986
"8886356",78.3389830434647
"8886362",79.7056621633329
"8886369",79.6381377237074
"8886398",80.6944129102469
"8886404",78.0898753878678
"8886410",68.9424271187758
"8886412",81.3100794665569
"8886413",80.549715106932
"8886415",81.0885421988751
"8886416",79.2815365417922
"8886422",78.0180076259894
"8886431",74.717982082586
"8886434",75.9258317798058
"8886437",76.5680693009425
"8886444",78.1464708619028
"8886462",74.535217876066
"8886474",75.6022723556156
"8886495",76.3833988205434
"8886594",75.2690196973271
"8886607",77.6735897237109
"8886641",80.8064445684023
"8886650",79.6338016063828
"8886655",83.1719183544912
"8886660",66.5884110406301
"8886750",79.6145271192013
"8886755",77.9601114880947
"8886915",83.521671096743
"8886928",81.5547611045303
"8886943",79.9079239276357
"8887014",77.9422063642824
"8887566",74.1610642363763
"8887613",78.2228837243854
"8887852",78.8827669973903
"8887987",81.7054173812846
"8888303",80.3930192081321
"8888601",65.9574312649999
"8888674",76.8065404834012
"8888840",81.0309483527078
"8889521",76.4425835280074
"8889946",80.5565476542451
"8889955",77.8539652985846
"8890850",75.9662364229305
"8890866",75.0752487655635
"889110",76.3317826705742
"8891156",76.6628392508048
"8891157",83.3910093907254
"8891393",81.3703161070008
"8891416",76.7777625014336
"8891420",78.5164100983275
"8891424",77.7014818389793
"8891497",77.9180352290297
"8891794",78.86734888308
"8891802",83.4255980778995
"8891813",79.5205063381602
"8891905",79.4258862796905
"8891982",77.3177129000926
"8892000",73.6630846381384
"8892050",78.7585803790193
"8892154",75.3681027605411
"8892285",78.6870924620884
"8892344",82.0648054246918
"8892728",79.7465362250948
"8892772",76.2972651398465
"8892879",74.299912609258
"8892881",80.1204764717697
"8892899",79.539207058896
"8892907",80.1061026281115
"8893033",77.6179718000333
"8893135",79.7742649379056
"8893200",74.0169683196898
"8893206",77.7848031726124
"8893245",74.9024990870872
"8893247",77.8136898755515
"8893306",78.8523194619384
"8893361",80.1093995574433
"8893418",81.9927067277232
"8893563",81.4604242171843
"8893585",77.0665717328244
"8893639",80.4516912297012
"8893691",77.3688269892658
"8893721",80.4901080262159
"8893724",80.8199899617475
"8893737",73.5048179023685
"8893739",76.0537614789589
"8893742",77.7285886453786
"8893745",73.4766729905358
"8894179",79.4845868402974
"8894258",85.4875596741076
"8894477",77.8002098350589
"8894764",79.7219406962803
"8894770",77.1352549202875
"8894787",79.727856010954
"8894860",72.5382799409913
"8894977",75.3863057028529
"8894981",74.8474682585203
"8895067",80.8060402498116
"8895102",76.561785665897
"8895133",80.3208694038898
"8895143",81.1716829792945
"8895189",82.4638551709879
"8895224",79.1647754335084
"8895383",78.0737610198204
"8895395",79.1765540740901
"8895464",79.4752004082755
"8896955",80.8463125080495
"8896958",81.4036819313695
"8897967",81.1817345917165
"8898310",82.1336667202393
"8899356",77.3284575547439
"8899399",74.4488083293413
"8899747",81.863070748587
"8899980",83.1218356662416
"8900230",80.217527945588
"8900249",76.3802133255037
"8900330",76.5561762263745
"8900331",80.3592423152964
"8900449",81.7170934637199
"8900451",79.5554616971355
"8900662",80.4934023885203
"8901327",83.8438430817901
"900057",77.5208988339915
"900058",80.5183193285668
"900082",78.6537521904534
"900083",77.0102360748339
"900108",82.2518677553388
"9999339",74.3926550569923
"1000000930",71.1861704522896
"1000001188",76.2589949952131
"1000001195",80.6057569912367
"1000001212",80.7372896998694
"1000001496",82.3325826840648
"10000028",76.8769008378741
"1000010380",77.6668909166295
"10000356",79.4653217614147
"10000514",79.8903046409124
"10000555",81.7109720992318
"10000766",82.7382854794669
"1012521",76.3147439613457
"1012546",70.5938297537475
"1012573",78.2281346982588
"1012769",73.5807296156972
"1123744",78.0215990627925
"1124889",72.4288415907766
"1126032",78.1331985264884
"1126061",80.3632365615382
"1126075",80.4645914173945
"1126137",78.9226407201042
"1126146",79.0131589603766
"1126149",80.6250155050818
"1126161",82.5146505476919
"1126361",80.0947867069791
"1126494",80.8469103504576
"12680",78.687563101188
"12717",79.526738381152
"12734",79.350493596633
"2211131",82.655495336658
"2211293",83.1464137501171
"2211662",78.8980998304919
"2211717",85.0316345073519
"2211809",75.8229461796357
"657198",83.01545673304
"658319",79.2186953355836
"661390",78.6242846650934
"8880161",79.2602500343583
"8880173",77.9695397048797
"8880313",80.0242207281041
"8880464",79.0448715004622
"8880640",72.663233838805
"8880650",82.4297141211151
"8880655",74.9189241362569
"8880689",79.991512017988
"8880783",79.1173179873679
"8880792",80.9396397833165
"8880857",76.6107720922537
"8880887",76.0807755609455
"8880939",79.9447486553616
"8880944",80.8113185962241
"8880949",77.2349048149353
"8880989",76.8179813929716
"8881077",77.1352392671596
"8881128",77.5624613977833
"8881140",81.7374306721859
"8881155",85.3683146932709
"8881402",81.437106484018
"8881427",75.412954147132
"8881655",82.1526843304599
"8881665",80.1817058080282
"8881733",75.9906492344016
"8881788",79.2818152109124
"8881866",79.0584272825522
"8881869",81.657079739082
"8881876",81.6174485553191
"8881882",76.302154784475
"8881929",78.89170669604
"8882035",66.7175243868311
"8882061",80.8616682962534
"8882349",82.4060364455005
"8882749",78.5316566850899
"8882757",79.8756663553542
"8882761",80.3269836065682
"8883370",80.7746611541238
"8883401",83.8942285456938
"8883409",80.7217593990036
"8883426",80.4358954995392
"8883551",77.5000699353596
"8883559",79.0140053844972
"8883605",76.7506997165014
"8883822",77.7311410913082
"8883835",77.2904031250219
"8883857",82.7571696145101
"8883868",80.8059391513734
"8883939",77.7422151549534
"8883944",81.4253607953172
"8883948",80.4345581795501
"8883950",77.9614292318125
"8884021",82.7198200390527
"8884136",73.9931880245791
"8884756",77.8095634689219
"8885345",77.8045213976091
"8885347",80.191755046696
"8885371",78.1719858317081
